======================================================================
MARKET SUMMARY FOR NOVEMBER 16, 2025
======================================================================

SOCIAL SENTIMENT:
r/stocks: "Peter Thiel’s latest 13F shows a full exit from Nvidia (NVDA)"
r/wallstreetbets: "Next Weeks Earnings Without Background Noise..."
r/wallstreetbets: "What Are Your Moves Tomorrow, November 17, 2025"
r/geopolitics: "A Surge in Islamism Widens Rift Between Sudanese Army and Its Regional Allies"
r/StockMarket: "Bessent: China magnet deal incoming by Thanksgiving"
r/economics: "Trump tariffs panned by Bernanke, Yellen in Supreme Court filing"
r/japan: "Chinese coast guard sails toward Senkaku islands"
r/StockMarket: "“Billionaires are only rich on paper bc if they sell, the stock value will tank” meanwhile…"
r/geopolitics: "The militias battling to form a breakaway coastal state in the Middle East"
r/economics: "Record number of subprime borrowers miss car loan payments in October, data shows"
r/economics: "White House Hunts for Ways to Lower the Cost of Living"
r/StockMarket: "Are ya at peak exuberance yet son??"
r/economics: "Trump's GOP insists no affordability crisis after election losses"
r/China: "China's unemployed Gen Z are proudly calling themselves 'rat people' and spending entire days in bed"
r/economics: "Does the U.S. have a 'K-shaped economy'? What it means for you."
r/investing: "Which asset class will have the most asymmetric returns in the next decade?"
r/geopolitics: "The France National Intelligence Strategy 2025"
r/economics: "Why have China’s exports held up so well under higher US tariffs?"
r/investing: "Elon Musk Is Late Again… Meanwhile China Just Delivered a Whole Robot Army"
r/wallstreetbets: "Who else trades using no indicators or signals???"
r/stocks: "Stocks, not homeownership, is the primary wealth driver"
r/stocks: "Meta's CMO says Big Tech's soaring spending on AI is 'aggressive, but not crazy'"
r/japan: "Japan urges China to scale back response in Taiwan row – DW"
r/japan: "Japan retail rice price hits record high since gov't release eased"
r/investing: "I want to stop max contributing to 401k. Am I wrong?"
r/geopolitics: "There's still 'no evidence' China is buying all the U.S. soybeans it promised under Trump's trade deal amid oversupply from South America | Fortune"
r/economics: "Trump buys at least $82 million in bonds since late August, disclosures show"
r/geopolitics: "'The worst possible situation': This major city only has a few days of water left"
[Total: 28 posts tracked]
